Problem,Hunter(hkroger),Snehal,Emma(eschare)
962,1,1,1
963,1,1,1
964,7,7,7
965,3,3,3
966,1,2,2
967,10,10,10
968,2,1,1
969,10,10,10
970,6,6,6
971,5,9,5
972,9,1,6
973,9,9,9
974,9,9,9
975,7,7,7
976,9,9,9
977,6,10,6
978,7,7,6
979,5,5,5
980,9,9,9
981,1,1,2
982,6,10,6
983,6,6,6
984,6,1,6
985,9,6,9
986,6,6,6
987,6,6,6
988,6,6,6
989,9,9,9
990,2,2,2
991,7,7,7
992,2,6,6
993,2,6,6
994,6,6,6
995,9,9,9
996,2,2,2
997,3,3,3
998,9,2,2
999,3,6,7
1000,11,11,11
1001,1,8,8
1002,10,10,10
1003,9,9,9
1004,6,6,6
1005,4,10,10
1006,3,3,3
1007,10,10,4
1008,9,2,9
1009,9,9,9
1010,5,5,5
1011,3,3,3
1012,8,8,2
1013,1,9,9
1014,5,5,5
1015,1,1,1
1016,3,3,3
1017,6,6,6
1018,6,6,6
1019,7,7,6
1020,10,10,10
1021,10,10,10
1022,10,10,10
1023,9,9,9
1024,9,9,9
1025,4,4,9
1026,9,1,1
1027,1,1,1
1028,1,1,1
1029,7,7,7
1030,4,4,4
1031,2,5,2
1032,9,9,9
1033,9,1,9
1034,6,6,6
1035,10,7,10
1036,9,2,7
1037,6,1,6
1038,6,6,6
1039,10,10,10
1040,3,3,3
1041,10,10,10
1042,3,3,3
1043,8,2,8
1044,6,1,1
1045,6,6,6
1046,3,3,3
1047,9,9,9
1048,9,9,9
1049,3,3,3
1050,5,5,5
1051,9,10,2
1052,4,4,10
1053,4,4,4
1054,3,3,3
1055,2,9,6
1056,9,9,2
1057,8,8,8
1058,9,9,9
1059,11,11,11
1060,9,9,6
1061,9,9,9
1062,2,1,1
1063,4,6,10
1064,6,1,1
1065,5,5,5
1066,3,6,3
1067,10,10,10
1068,6,7,2
1069,2,8,2
1070,9,9,9
1071,9,1,9
1072,7,7,6
1073,6,7,6
1074,9,2,2
1075,6,6,6
1076,7,7,7
1077,7,7,7
1078,6,8,6
1079,3,3,3
1080,2,2,9
1081,5,5,5
1082,9,9,10
1083,6,7,7
1084,10,10,6
1085,10,6,10
1086,3,6,3
1087,6,1,1
1088,10,10,10
1089,6,6,6
1090,6,6,6
1091,9,9,9
1092,5,5,5
1093,6,6,6
1094,6,9,9
1095,3,3,3
1096,7,5,7
1097,8,8,8
1098,2,2,6
1099,2,2,2
1100,10,6,10
