Problem,Hunter(hkroger),Snehal,Emma(eschare)
1648,6,10,4
1649,6,6,6
1650,2,2,2
1651,5,5,5
1652,1,1,2
1653,9,9,10
1654,7,5,5
1655,6,10,6
1656,6,6,6
1657,2,2,9
1658,2,1,6
1659,9,9,9
1660,6,6,6
1661,7,7,6
1662,3,3,3
1663,9,9,9
1664,7,5,8
1665,8,8,9
1666,9,6,9
1667,10,10,10
1668,6,2,6
1669,8,8,8
1670,9,1,1
1671,6,6,9
1672,3,2,3
1673,5,9,5
1674,10,10,10
1675,6,6,6
1676,9,10,10
1677,5,5,5
1678,5,1,9
1679,3,3,3
1680,3,10,3
1681,3,3,3
1682,6,6,6
1683,7,6,7
1684,11,10,6
1685,1,6,6
1686,7,7,10
1687,2,2,2
1688,5,1,1
1689,9,9,9
1690,9,9,9
1691,3,3,3
1692,7,7,7
1693,9,9,9
1694,8,2,8
1695,6,6,6
1696,9,9,9
1697,6,6,6
1698,6,6,6
1699,9,9,9
1700,10,10,9
1701,9,10,9
1702,9,9,9
1703,6,6,6
1704,9,5,5
1705,3,3,3
1706,5,5,5
1707,10,10,10
1708,8,8,10
1709,6,9,7
1710,10,10,10
1711,6,6,6
1712,7,7,7
1713,7,10,7
1714,9,9,9
1715,3,3,1
1716,6,6,6
1717,6,6,4
1718,1,10,10
1719,4,2,2
1720,7,7,7
1721,2,5,5
1722,7,10,7
1723,6,6,6
1724,1,1,6
1725,1,1,6
1726,6,7,6
1727,9,9,9
1728,6,6,6
1729,2,2,2
1730,6,10,6
1731,6,6,6
1732,6,6,6
1733,2,2,9
1734,5,9,9
1735,6,6,6
1736,9,9,9
1737,7,7,7
1738,2,5,2
1739,9,9,9
1740,7,11,10
1741,10,10,10
1742,1,1,10
1743,5,5,5
1744,10,10,6
1745,9,5,7
1746,10,10,9
1747,2,1,9
1748,6,6,6
1749,2,2,2
1750,6,6,6
1751,6,6,6
1752,5,5,5
1753,7,7,7
1754,2,5,5
1755,9,10,9
1756,3,3,3
1757,1,1,1
1758,10,10,10
1759,9,9,1
1760,4,3,3
1761,4,4,4
1762,3,3,3
1763,6,6,6
1764,10,10,10
1765,6,6,6
1766,11,11,11
1767,5,5,5
1768,3,6,3
1769,10,10,10
1770,10,10,10
1771,6,6,6
1772,6,10,6
1773,11,11,11
1774,3,3,3
1775,2,2,2
1776,6,10,9
1777,6,10,9
1778,3,3,3
1779,9,9,9
1780,6,6,10
1781,4,4,10
1782,2,2,8
1783,4,4,4
1784,6,6,6
1785,9,2,2
1786,3,3,3
1787,9,9,9
1788,2,10,9
1789,2,9,7
1790,5,5,5
1791,10,10,10
1792,10,10,10
1793,9,9,9
1794,9,9,9
1795,10,10,10
1796,6,6,1
1797,6,5,6
1798,8,8,10
1799,10,10,10
1800,7,7,7
1801,2,2,1
1802,6,6,6
1803,3,3,3
1804,3,6,3
1805,9,10,10
1806,2,5,1
1807,10,6,10
1808,3,3,3
1809,4,10,4
1810,2,2,2
1811,2,2,2
1812,6,6,6
1813,6,6,6
1814,6,6,6
1815,6,6,6
1816,10,10,10
1817,1,1,6
1818,10,10,10
1819,2,2,2
1820,6,6,6
1821,2,1,4
1822,6,1,6
1823,6,6,6
1824,5,5,5
1825,9,9,9
1826,9,9,9
1827,1,1,1
1828,2,1,1
1829,6,6,6
1830,6,6,6
1831,2,2,2
1832,2,2,6
1833,7,6,7
1834,3,3,3
1835,1,8,1
1836,6,6,6
1837,6,10,6
1838,11,11,11
1839,1,1,1
1840,6,6,10
1841,6,6,6
1842,9,9,9
1843,9,2,6
1844,10,10,10
1845,3,6,3
1846,9,9,9
1847,7,7,7
1848,10,10,10
1849,7,7,7
1850,7,7,7
1851,10,10,10
1852,6,10,6
1853,9,5,9
1854,9,9,9
1855,10,10,10
1856,9,9,9
1857,6,6,6
1858,5,5,5
1859,2,2,4
1860,2,2,2
1861,10,10,10
1862,3,10,3
1863,9,9,9
1864,5,5,5
1865,5,5,5
1866,9,9,9
1867,2,2,1
1868,4,4,4
1869,1,10,10
1870,6,4,6
1871,6,10,6
1872,6,6,6
1873,6,6,6
1874,10,10,10
1875,9,9,9
1876,6,6,9
1877,6,6,6
1878,6,6,6
1879,4,4,4
1880,10,4,4
1881,5,5,5
1882,5,5,5
1883,6,6,6
1884,2,2,2
1885,6,6,6
1886,6,6,10
1887,7,7,7
1888,4,4,4
1889,6,6,6
1890,7,7,7
1891,1,1,1
1892,9,7,3
1893,8,2,8
1894,4,4,4
1895,5,5,5
1896,6,1,6
1897,1,1,1
1898,2,2,9
1899,6,2,6
1900,6,6,6
1901,6,7,6
1902,4,1,9
1903,3,3,3
1904,3,3,3
1905,6,5,1
1906,9,9,9
1907,2,2,2
1908,6,3,6
1909,5,5,5
1910,9,1,6
1911,5,5,5
1912,2,10,7
1913,9,6,1
1914,6,6,10
1915,2,2,2
1916,9,1,1
1917,5,5,5
1918,9,9,6
1919,1,10,1
1920,4,4,4
1921,4,2,1
1922,1,10,10
1923,6,8,6
1924,9,8,8
1925,5,5,5
1926,10,10,10
1927,1,5,1
1928,5,2,5
1929,10,10,10
1930,5,5,5
1931,6,6,6
1932,1,10,10
1933,3,4,6
1934,2,2,9
1935,2,1,1
1936,6,6,6
1937,9,9,9
1938,10,10,1
1939,9,9,1
1940,4,4,4
1941,3,3,3
1942,9,9,9
1943,6,6,6
1944,6,6,6
1945,9,9,6
1946,5,9,9
1947,6,6,6
1948,9,9,9
1949,9,9,9
1950,9,10,9
1951,10,10,9
1952,8,8,8
1953,10,10,10
1954,6,2,6
1955,10,10,10
1956,3,3,3
1957,6,6,6
1958,8,8,2
1959,3,10,3
1960,6,4,4
1961,6,1,6
1962,10,10,10
1963,3,10,3
1964,8,8,8
1965,6,2,6
1966,6,6,6
1967,9,9,9
1968,6,6,6
1969,9,2,2
1970,9,6,6
1971,6,6,6
1972,4,4,4
1973,6,6,6
1974,5,5,5
1975,6,6,7
1976,1,1,1
1977,10,5,10
1978,9,10,9
1979,6,6,6
1980,4,10,4
1981,3,3,3
1982,7,1,7
1983,7,1,7
1984,2,2,8
1985,6,6,6
1986,3,10,3
1987,1,1,1
1988,6,6,6
1989,2,2,2
1990,9,9,9
1991,2,2,9
1992,4,4,4
1993,6,6,6
1994,6,6,6
1995,2,9,8
1996,10,2,9
1997,9,9,9
1998,1,1,1
1999,2,2,2
2000,9,9,9
2001,7,10,9
2002,7,6,6
2003,2,2,2
2004,2,2,6
2005,3,3,3
2006,10,10,10
2007,6,1,7
2008,6,6,6
2009,6,1,6
2010,9,10,9
2011,6,1,8
2012,10,10,10
2013,5,5,9
2014,8,6,8
2015,6,6,6
2016,6,6,6
2017,3,6,3
2018,6,6,6
2019,7,7,7
2020,6,7,6
2021,6,7,7
2022,5,5,6
2023,9,5,1
2024,6,7,7
2025,6,6,6
2026,5,5,5
2027,9,5,5
2028,6,6,6
2029,5,2,8
2030,8,9,9
2031,7,7,7
2032,8,5,5
2033,6,6,6
2034,6,10,6
2035,3,3,3
2036,7,10,7
2037,1,1,1
2038,6,8,9
2039,10,10,10
2040,1,1,6
2041,6,1,8
2042,9,9,9
2043,6,1,6
2044,7,7,7
2045,7,7,6
2046,5,5,5
2047,5,5,5
2048,7,7,7
2049,9,10,9
2050,6,6,6
2051,6,10,6
2052,4,4,4
2053,4,4,6
2054,10,1,10
2055,3,3,3
2056,9,9,9
2057,6,6,6
2058,2,1,2
2059,4,4,4
2060,6,10,6
2061,5,5,5
2062,6,6,6
2063,6,7,6
2064,6,1,6
2065,3,3,3
2066,9,9,9
2067,10,10,6
2068,10,10,10
2069,9,9,10
2070,4,6,6
2071,4,6,6
2072,5,5,5
2073,10,10,10
2074,5,5,3
2075,6,6,6
2076,6,9,6
2077,6,6,6
2078,6,10,6
2079,6,6,6
2080,2,2,9
2081,9,9,9
2082,10,10,9
2083,7,6,7
2084,5,5,5
2085,6,6,4
2086,6,6,9
2087,6,7,7
2088,10,10,10
2089,9,9,6
2090,4,6,10
2091,6,10,6
2092,2,2,6
2093,6,9,6
2094,2,1,1
2095,2,2,2
2096,10,10,10
2097,5,5,5
2098,9,9,9
2099,7,2,7
2100,9,9,9
2101,9,9,9
2102,10,10,10
2103,9,9,5
2104,9,9,9
2105,8,9,6
2106,3,10,6
2107,3,6,3
2108,9,9,9
2109,6,6,6
2110,6,6,6
2111,2,1,2
2112,6,6,6
2113,4,4,4
2114,10,10,10
2115,9,2,2
2116,9,9,9
2117,2,10,6
2118,7,9,7
2119,8,9,2
2120,10,9,10
2121,9,9,9
2122,7,6,7
2123,3,3,3
2124,3,3,3
2125,6,6,6
2126,6,6,6
2127,6,1,1
2128,6,10,6
2129,6,6,6
2130,8,8,8
2131,2,2,2
2132,9,9,9
2133,3,3,3
2134,6,6,6
2135,5,5,5
2136,9,9,9
2137,4,10,4
2138,9,9,9
2139,7,2,7
2140,2,1,1
2141,5,5,5
2142,6,6,6
2143,9,9,9
2144,2,2,7
2145,6,6,6
2146,6,6,2
2147,6,6,6
2148,4,4,4
2149,10,10,10
2150,7,7,7
2151,10,10,10
2152,2,2,1
2153,2,2,2
2154,6,9,7
2155,7,10,7
2156,6,2,5
2157,9,5,5
2158,10,9,10
2159,6,6,6
2160,10,10,10
2161,2,2,9
2162,9,2,8
2163,5,10,5
2164,9,9,5
2165,2,4,1
2166,4,10,4
2167,6,10,1
2168,5,5,5
2169,6,10,6
2170,9,9,9
2171,8,8,8
2172,1,1,1
2173,9,1,6
2174,2,2,2
2175,6,6,6
2176,9,6,6
2177,9,10,10
2178,2,1,1
2179,2,2,2
2180,5,10,5
2181,10,6,6
2182,6,10,6
2183,1,1,1
2184,10,10,10
2185,2,2,2
2186,6,4,6
2187,7,1,6
2188,9,9,9
2189,7,5,5
2190,2,7,2
2191,10,1,2
2192,2,2,2
2193,9,9,10
2194,5,5,5
2195,2,2,2
2196,1,1,8
2197,6,6,9
2198,6,10,4
2199,9,10,9
2200,10,10,10
2201,10,10,10
2202,6,6,6
2203,5,5,6
2204,1,1,10
2205,9,1,9
2206,9,9,8
2207,9,9,9
2208,9,1,9
2209,6,7,6
2210,6,10,6
2211,2,1,6
2212,4,9,4
2213,4,9,6
2214,10,10,10
2215,5,5,5
2216,6,6,6
2217,3,3,3
2218,3,10,3
2219,5,5,5
2220,6,6,6
2221,10,10,10
2222,6,10,6
2223,3,3,3
2224,9,9,9
2225,3,3,3
2226,9,1,1
2227,7,7,7
2228,3,3,3
2229,6,6,7
2230,1,6,1
2231,9,9,9
2232,9,10,9
2233,5,5,5
2234,1,1,6
2235,5,5,5
2236,10,10,10
2237,3,3,3
2238,6,6,6
2239,7,7,7
2240,6,6,6
2241,1,1,1
2242,6,6,6
2243,10,10,10
2244,10,10,10
2245,4,4,4
2246,2,2,2
2247,1,1,6
2248,4,6,4
2249,4,6,4
2250,5,10,8
2251,6,6,6
2252,4,7,4
2253,9,9,9
2254,9,9,9
2255,1,1,2
2256,7,6,7
2257,6,6,6
2258,9,9,9
2259,9,9,10
2260,2,5,2
2261,10,10,10
2262,7,7,7
2263,6,6,6
2264,6,1,1
2265,2,2,2
2266,6,10,1
2267,5,5,5
2268,2,2,6
2269,6,6,6
2270,4,4,4
2271,7,6,6
2272,9,5,5
2273,2,2,6
2274,5,10,5
2275,5,10,5
2276,5,5,5
2277,6,6,6
2278,9,5,5
2279,6,2,6
2280,2,2,2
2281,6,6,6
2282,4,10,4
2283,6,6,6
2284,7,10,7
2285,5,5,6
2286,4,10,4
2287,6,6,6
2288,3,3,3
2289,6,10,6
2290,3,3,3
2291,6,10,7
2292,3,3,3
2293,6,6,6
2294,6,6,6
2295,2,2,2
2296,5,5,9
2297,6,9,6
2298,4,6,6
2299,10,10,10
2300,10,10,10
2301,6,6,6
2302,10,10,10
2303,9,10,10
2304,10,10,10
2305,6,7,7
2306,9,9,9
2307,5,5,5
2308,10,10,4
2309,9,10,9
2310,3,10,3
2311,7,10,3
2312,6,6,6
2313,2,2,2
2314,10,10,10
2315,10,10,5
2316,6,9,9
2317,1,1,1
2318,6,6,2
2319,6,6,6
2320,6,10,10
2321,10,10,9
2322,4,6,6
2323,9,9,2
2324,9,9,9
2325,10,10,10
2326,10,10,10
2327,9,9,9
2328,6,10,9
2329,3,3,3
2330,6,6,6
2331,10,10,5
2332,5,5,5
2333,5,5,5
2334,2,5,2
2335,2,1,1
2336,6,6,1
2337,6,6,1
2338,2,8,8
2339,6,6,6
2340,9,9,9
2341,7,6,7
2342,9,9,10
2343,9,9,10
2344,8,10,7
2345,6,6,6
2346,9,10,9
2347,9,9,9
2348,1,10,10
2349,9,9,9
2350,2,6,6
2351,8,6,6
2352,8,6,6
2353,10,10,10
2354,2,2,9
2355,5,5,5
2356,6,6,6
2357,3,3,3
2358,6,6,6
2359,5,5,5
2360,6,6,6
2361,4,4,4
2362,7,7,7
2363,9,10,9
2364,4,6,6
2365,9,9,9
2366,10,10,10
2367,10,10,10
2368,9,9,9
2369,1,1,1
2370,3,3,3
2371,5,5,5
2372,6,2,6
2373,6,6,6
2374,10,10,10
2375,5,5,5
2376,10,10,10
2377,6,6,6
2378,3,3,3
2379,6,1,6
2380,6,6,6
2381,3,2,3
2382,4,10,4
2383,9,9,9
2384,10,10,4
2385,8,8,8
2386,7,7,7
2387,3,3,3
2388,3,3,3
2389,6,10,6
2390,6,10,6
2391,6,6,6
2392,3,3,3
2393,1,1,1
2394,9,9,6
2395,9,2,9
2396,2,2,1
2397,6,6,6
2398,2,10,5
2399,3,2,3
2400,10,10,10
2401,7,7,7
2402,6,6,6
2403,7,7,7
2404,1,9,10
2405,2,9,9
2406,10,9,9
2407,9,5,5
2408,7,10,7
2409,10,10,10
2410,8,8,8
2411,9,9,9
2412,7,6,7
2413,5,5,5
2414,10,10,10
2415,6,6,6
2416,3,3,3
2417,9,9,9
2418,8,8,8
2419,4,4,6
2420,9,9,6
2421,5,5,5
2422,7,7,7
2423,7,7,7
2424,6,6,6
2425,2,2,2
2426,8,8,9
2427,2,2,6
2428,5,5,5
2429,6,6,6
2430,7,7,7
2431,7,7,7
2432,10,10,10
2433,10,10,10
2434,9,9,7
2435,10,9,4
2436,10,10,10
2437,6,6,6
2438,1,1,1
2439,7,10,7
2440,6,6,3
2441,10,10,6
2442,6,6,6
2443,6,10,10
2444,10,6,4
2445,10,10,10
2446,6,6,4
2447,6,6,6
2448,2,2,6
2449,9,10,10
2450,9,10,10
2451,4,4,4
2452,2,2,2
2453,9,9,9
2454,6,6,6
2455,2,10,2
2456,6,10,10
2457,9,9,6
2458,3,3,3
2459,6,6,6
2460,10,6,6
2461,1,1,1
2462,6,6,6
2463,1,1,1
2464,9,10,9
2465,9,9,9
2466,6,6,6
2467,1,1,1
2468,6,1,6
2469,2,2,2
2470,9,9,10
2471,6,10,10
2472,5,10,5
2473,5,5,5
2474,2,2,2
2475,9,9,9
2476,6,6,6
2477,6,6,6
2478,2,1,8
2479,2,2,9
2480,5,5,5
2481,3,3,3
2482,4,4,4
2483,3,10,3
2484,10,10,10
2485,9,10,9
2486,7,7,7
2487,7,10,10
2488,5,5,9
2489,6,9,6
2490,8,8,8
2491,3,3,3
2492,2,2,2
2493,2,2,9
2494,10,10,10
2495,3,3,3
2496,9,9,9
2497,2,9,1
2498,8,8,6
2499,6,6,6
2500,10,10,10
